YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,2,31000,49499,Craigslist
2024,1,31000,46922,Craigslist
2023,2,8462,46988,Cargurus
2024,1,31109,46922,Cargurus
2023,2,57613,43998,Cargurus
2023,2,18595,50997,Cargurus
2024,1,17699,52997,Cargurus
2023,2,57613,43998,Cargurus
2024,1,25199,47998,Cargurus
2023,2,22379,47498,Cargurus
2024,1,23379,48900,Cargurus
2024,1,28078,48900,Cargurus
2023,2,30612,49499,Cargurus
2023,2,52628,46979,Cargurus
2023,2,64681,43498,Cargurus
2023,2,26000,41990,Carvana
2024,1,23000,43590,Carvana
2024,1,21000,43590,Carvana
2024,1,27000,42990,Carvana
2025,0,45445,0,Toyota
