Close/Last,Volume,Open,High,Low,Date
368.70,6936418,364.76,372.82,361.00,0
360.09,6481243,372.00,375.65,357.72,1
379.24,8961126,366.31,382.00,365.00,2
371.71,10967700,371.46,391.56,370.60,3
369.03,11178570,364.21,376.77,356.80,4
381.05,6997891,373.11,381.36,364.50,5
368.77,8364623,381.03,393.52,367.40,6
383.79,5487340,377.77,384.01,370.51,7
372.78,8746985,381.00,391.40,368.64,8
368.97,8147165,367.70,371.31,356.85,9
346.49,7405458,343.86,357.47,341.72,10
364.13,7604444,356.43,364.54,347.85,11
349.92,6058782,358.92,362.98,344.79,12
315.25,12071590,326.50,335.72,307.32,13
336.30,9458197,330.51,336.42,307.39,14
298.84,10559940,306.63,334.35,294.75,15
319.75,10013910,306.19,322.90,290.25,16
315.47,12593650,302.40,331.58,300.00,17
332.03,10615960,324.33,348.51,316.82,18
332.83,10853850,342.31,350.49,332.00,19
360.27,13449380,347.89,366.11,340.88,20
357.32,11638680,369.99,372.93,353.03,21
342.39,8767171,361.02,362.00,339.17,22
362.99,7235016,344.00,363.84,341.73,23
357.12,7948775,359.09,368.56,353.00,24
370.96,8621964,363.00,377.80,361.17,25
375.50,9366464,367.93,383.01,366.44,26
364.08,6672454,376.05,380.23,361.02,27
370.08,4592477,364.08,370.99,360.06,28
361.76,4860768,367.47,370.90,357.51,29
379.96,8183921,365.22,380.29,361.71,30
372.28,7046438,380.00,381.33,369.34,31
371.12,6908879,374.01,378.39,368.31,32
370.72,7711296,371.06,372.10,363.03,33
396.72,11692920,371.31,400.51,367.70,34
413.55,11580980,397.50,417.82,394.85,35
426.75,13561220,413.00,434.98,412.25,36
439.17,16128670,437.00,449.52,431.61,37
422.96,12616260,431.00,432.00,414.70,38
437.49,12655820,435.17,444.49,430.56,39
433.83,23177550,444.77,447.00,425.60,40
421.42,21123770,429.73,433.00,413.00,41
426.70,13952330,419.26,438.41,419.26,42
424.99,8670362,425.00,427.17,415.88,43
421.38,6277480,425.00,429.00,420.84,44
403.83,10101230,419.99,421.00,402.91,45
411.89,9693137,399.53,415.86,393.60,46
419.85,7953975,410.31,424.44,408.00,47
415.27,8299858,415.10,427.97,411.73,48
428.15,7799058,417.78,428.54,414.87,49
424.68,6286293,427.56,431.00,421.56,50
434.26,6660737,429.30,439.77,426.39,51
436.53,5650281,436.89,438.88,430.66,52
435.55,5054308,434.14,442.00,433.64,53
440.52,5486037,436.33,444.89,435.56,54
431.82,4598211,442.00,444.17,431.36,55
438.27,7014563,435.69,447.00,427.27,56
441.95,9007467,444.90,452.38,432.82,57
454.19,7243998,440.70,455.00,437.51,58
452.58,7780309,451.16,456.36,443.35,59
451.04,4810487,453.40,458.97,450.47,60
447.67,5607257,454.25,455.81,444.00,61
436.25,9117325,448.56,448.96,430.25,62
429.32,5422334,437.00,439.09,427.18,63
414.77,7881115,427.77,428.50,413.14,64
419.89,10446340,410.38,420.02,397.86,65
413.44,5660160,417.24,422.37,411.50,66
419.73,5270484,417.46,420.30,411.85,67
425.92,3748573,418.83,426.72,415.98,68
427.31,3494801,425.87,427.59,419.46,69
421.97,4316044,426.95,427.10,418.05,70
414.33,5410529,422.39,428.71,410.03,71
419.60,5099561,407.29,420.24,404.25,72
419.49,5851453,416.00,420.80,406.50,73
434.05,6796999,421.65,434.73,420.31,74
434.48,4896893,436.00,439.69,430.55,75
425.56,7462868,428.20,445.57,424.16,76
418.07,6461127,429.00,434.06,412.45,77
425.50,4471499,421.40,426.49,415.42,78
436.13,5514016,425.76,437.96,425.18,79
447.77,6529568,441.82,450.46,439.22,80
449.87,4277627,448.73,452.76,442.80,81
453.72,5933651,449.12,453.97,445.60,82
468.04,6272105,455.01,468.59,454.21,83
466.26,5948436,466.50,474.01,464.50,84
457.85,4826191,468.54,472.36,454.00,85
465.91,4134513,458.86,467.01,454.00,86
443.40,6804726,466.39,468.03,442.24,87
447.24,4843978,445.23,447.67,432.14,88
455.04,4198545,450.02,457.59,447.00,89
485.64,9705870,454.00,488.23,454.00,90
476.89,6351485,485.64,492.28,475.53,91
493.81,7838990,480.77,499.50,479.80,92
493.16,5669870,497.31,504.82,490.83,93
502.78,5691682,498.58,505.10,493.81,94
507.76,5840541,508.40,510.00,495.78,95
548.73,21605590,519.73,555.88,511.28,96
525.50,18399020,567.98,575.37,520.96,97
524.88,15083300,517.08,525.50,490.49,98
523.26,10066650,516.30,529.00,510.18,99
527.39,24498990,526.48,535.54,504.36,100
492.99,24991350,494.87,503.59,484.14,101
502.41,11940310,489.14,504.50,484.20,102
490.10,9127218,506.00,506.22,488.61,103
489.82,6954078,492.19,497.20,487.20,104
