Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/16/25,Thursday,43.35,Grocery,Food,Credit,Need
1/16/25,Thursday,10.00,Auto Repair,Travel,Credit,Need
1/16/25,Thursday,16.23,Grocery,Food,Debit,Need
1/16/25,Thursday,16.82,Gas,Travel,Credit,Need
1/16/25,Thursday,1725.13,Pool,Entertainment and Recreation,Cash,Want
1/17/25,Friday,186.85,Grocery,Food,Debit,Need
1/18/25,Saturday,21.00,Auto Safety,Travel,Credit,Need
1/19/25,Sunday,21.00,BBQ,Food,Debit,Want
1/20/25,Monday,24.00,Gift,Entertainment and Recreation,Debit,Want
1/20/25,Monday,25.00,Gift,Entertainment and Recreation,Debit,Want
1/20/25,Monday,30.17,Grocery,Food,Debit,Need
1/21/25,Tuesday,30.36,Snacks,Food,Debit,Want
1/21/25,Tuesday,43.00,Kleenex,Housing,Debit,Need
1/22/25,Wednesday,5.80,Burritos,Food,Debit,Need
1/23/25,Thursday,57.69,Breakfast,Food,Credit,Want
1/23/25,Thursday,8.44,Airport ,Food,Credit,Need
1/23/25,Thursday,80.00,Uber,Travel,Credit,Need
1/23/25,Thursday,80.00,Hotel,Food,Credit,Need
1/24/25,Friday,60.00,Cafe,Food,Credit,Need
1/24/25,Friday,89.84, Clothing Store,Entertainment and Recreation,Credit,Want
1/24/25,Friday,1732.00,Jewelry,Entertainment and Recreation,Credit,Want
1/25/25,Saturday,160.00,Massage,Entertainment and Recreation,Credit,Want
1/25/25,Saturday,33.07,Record,Entertainment and Recreation,Credit,Want
1/25/25,Saturday,25.00,Hair Trim,Entertainment and Recreation,Debit,Want
1/25/25,Saturday,25,Wine,Entertainment and Recreation,Credit,Want
1/26/25,Sunday,65.00,Breakfast,Food,Credit,Want
1/26/25,Sunday,75.00,Uber,Travel,Credit,Need
1/26/25,Sunday,27.05,food airport,Food,Credit,Need
1/26/25,Sunday,45.00,food airport,Food,Credit,Need
1/27/25,Monday,53.11,gas,Travel,Credit,Need
1/27/25,Monday,59.43,Dog Cone/meds,Bills,Credit,Need
1/27/25,Monday,65.00,grocery,Food,Debit,Need
1/27/25,Monday,84.00,mini van gas,Travel,Credit,Need
1/28/25,Tuesday ,36.21,groceries,Food,Debit,Need
1/29/25,Wednesday,18.93,groceries,Food,Debit,Need
1/29/25,Wednesday,39.07,petco sick dog,Bills,Credit,Need
1/29/25,Wednesday,9.00,hardware store,Entertainment and Recreation,Debit,Want
